"age.min";"age.max";"code_dep";"year";"all";"male";"female"
30;34;"89";2012;18368;9132;9236
30;34;"52";2012;9458;4776;4682
30;34;"67";2012;68065;33875;34190
30;34;"10";2012;17156;8454;8702
30;34;"71";2012;28089;14173;13916
30;34;"34";2012;60618;29768;30850
30;34;"28";2012;25575;12550;13025
30;34;"90";2012;8810;4535;4275
30;34;"53";2012;17690;9005;8685
30;34;"68";2012;44939;22372;22567
30;34;"70";2012;13303;6646;6657
30;34;"05";2012;7166;3382;3784
30;34;"35";2012;62869;32190;30679
30;34;"29";2012;49972;25488;24484
30;34;"31";2012;83596;42982;40614
30;34;"16";2012;18065;8984;9081
30;34;"18";2012;15360;7751;7609
30;34;"12";2012;13961;7153;6808
30;34;"06";2012;61110;29267;31843
30;34;"971";2012;21380;8654;12726
30;34;"30";2012;38477;18741;19736
30;34;"32";2012;8749;4250;4499
30;34;"17";2012;31273;15341;15932
30;34;"11";2012;18476;9130;9346
30;34;"72";2012;32023;16119;15904
30;34;"07";2012;16472;8071;8401
30;34;"972";2012;19910;8326;11584
30;34;"974";2012;55239;24936;30303
30;34;"54";2012;43071;21743;21328
30;34;"973";2012;16368;7692;8676
30;34;"2A";2012;7658;3776;3882
30;34;"14";2012;38721;19165;19556
30;34;"36";2012;11701;6025;5676
30;34;"13";2012;115993;55966;60027
30;34;"15";2012;7419;3759;3660
30;34;"09";2012;7974;3949;4025
30;34;"19";2012;12246;6268;5978
30;34;"08";2012;16137;7895;8242
30;34;"25";2012;32500;16477;16023
30;34;"22";2012;30004;14990;15014
30;34;"26";2012;26686;12934;13752
30;34;"2B";2012;9712;4878;4834
30;34;"21";2012;30486;15333;15153
30;34;"23";2012;5463;2697;2766
30;34;"24";2012;19444;9475;9969
35;39;"67";2012;78657;39204;39453
35;39;"37";2012;39637;19909;19728
35;39;"44";2012;91973;46307;45666
35;39;"61";2012;18046;9115;8931
35;39;"68";2012;53880;26923;26957
35;39;"43";2012;15124;7600;7524
35;39;"74";2012;57075;28512;28563
35;39;"45";2012;45661;22690;22971
35;39;"73";2012;29688;14987;14701
35;39;"38";2012;87062;43515;43547
35;39;"46";2012;10506;5189;5317
35;39;"69";2012;118991;59283;59708
35;39;"55";2012;12728;6519;6209
35;39;"75";2012;178608;90591;88017
35;39;"49";2012;52934;26430;26504
35;39;"51";2012;38714;19222;19492
35;39;"76";2012;83282;41135;42147
35;39;"39";2012;17525;8610;8915
35;39;"62";2012;101018;50442;50576
35;39;"85";2012;42450;21295;21155
35;39;"79";2012;24815;12405;12410
35;39;"50";2012;31607;15806;15801
35;39;"52";2012;11480;5766;5714
35;39;"77";2012;100722;49210;51512
35;39;"40";2012;26736;13160;13576
35;39;"63";2012;42791;21521;21270
